difficulty,name,link
6.7,Plankton Food,https://open.kattis.com/problems/plankton
6.2,Evolutions,https://open.kattis.com/problems/evolutions
6.7,Jednakost,https://open.kattis.com/problems/jednakost
6.0,Amanda Lounges,https://open.kattis.com/problems/amanda
7.7,"Yes, Yes, It's Nonograms",https://open.kattis.com/problems/yesyes
6.3,CDVII,https://open.kattis.com/problems/cdvii
7.9,Rotate to root,https://open.kattis.com/problems/rotatetoroot
7.3,Biking Duck,https://open.kattis.com/problems/bikingduck
6.9,Kraljevi,https://open.kattis.com/problems/kraljevi
6.3,Daring Doubt,https://open.kattis.com/problems/daringdoubt
5.8,Tours,https://open.kattis.com/problems/tours
6.5,Mate in One,https://open.kattis.com/problems/mateinone
6.5,Crni,https://open.kattis.com/problems/crni
7.7,Large Party,https://open.kattis.com/problems/largeparty
8.4,Enjoying Elderberries,https://open.kattis.com/problems/enjoyingelderberries
8.1,Cable Car,https://open.kattis.com/problems/cablecar
6.3,Bowlstack,https://open.kattis.com/problems/bowlstack
5.5,Gambling Game,https://open.kattis.com/problems/gamblinggame
7.9,Maddison's Square Garden,https://open.kattis.com/problems/maddisonssquaregarden
7.4,Uprooted,https://open.kattis.com/problems/uprooted
7.2,Shares,https://open.kattis.com/problems/shares
6.9,Fair Divisions,https://open.kattis.com/problems/fairdivisions
5.7,Stacking Up,https://open.kattis.com/problems/stackingup
6.5,Kingdom of Ants,https://open.kattis.com/problems/kingdomofants
6.2,Introspective Caching,https://open.kattis.com/problems/caching
7.9,She's All Yak,https://open.kattis.com/problems/shesallyak
7.8,Impossible Prices,https://open.kattis.com/problems/impossibleprices
7.7,Concert Rehearsal,https://open.kattis.com/problems/concertrehearsal
7.9,Closing the Borders,https://open.kattis.com/problems/closingtheborders
8.2,Telescope,https://open.kattis.com/problems/telescope
5.6,Trezor,https://open.kattis.com/problems/trezor
6.1,Evolutionary Excerpt,https://open.kattis.com/problems/evolutionaryexcerpt
7.2,Krumpirko,https://open.kattis.com/problems/krumpirko
7.0,K-Rotating,https://open.kattis.com/problems/krotating
6.9,Four Square,https://open.kattis.com/problems/foursquare
6.6,Manhattan,https://open.kattis.com/problems/manhattan
8.1,Pasijans,https://open.kattis.com/problems/pasijans
5.8,Pumpkin Patch,https://open.kattis.com/problems/pumpkinpatch
6.7,Demerit Points,https://open.kattis.com/problems/demeritpoints
5.8,A Star not a Tree?,https://open.kattis.com/problems/starnotatree
7.5,Vase Collection,https://open.kattis.com/problems/vase
7.9,Bribing Eve,https://open.kattis.com/problems/bribingeve
6.5,Solar Energy,https://open.kattis.com/problems/solarenergy
7.5,Star Wars,https://open.kattis.com/problems/starwars
8.7,Nice Prefixes,https://open.kattis.com/problems/niceprefixes
8.1,Draft Time,https://open.kattis.com/problems/drafttime
6.4,Roller Coaster Fun,https://open.kattis.com/problems/rollercoasterfun
9.3,Maximum Expression,https://open.kattis.com/problems/maxexpression
7.8,Asteroid Mining,https://open.kattis.com/problems/asteroidmining
7.6,Digraphs,https://open.kattis.com/problems/digraphs
7.7,Eksplozija,https://open.kattis.com/problems/eksplozija
6.9,Alien Microwave,https://open.kattis.com/problems/alienmicrowave
5.8,Alien Integers,https://open.kattis.com/problems/alienintegers
6.9,Airport Coffee,https://open.kattis.com/problems/airportcoffee
7.0,Collatz Conjecture,https://open.kattis.com/problems/collatzconjecture
6.1,Hraðskrif,https://open.kattis.com/problems/hradskrif
7.1,Chain & Co.,https://open.kattis.com/problems/chainco
5.6,All in the Family,https://open.kattis.com/problems/allinthefamily
6.4,Indistinguishable Sequences,https://open.kattis.com/problems/indistinguishablesequences
6.1,Bag of Tiles,https://open.kattis.com/problems/bagoftiles
5.7,Juice,https://open.kattis.com/problems/juice2
5.8,Killing Chaos,https://open.kattis.com/problems/killingchaos
7.8,Ball Tricks,https://open.kattis.com/problems/balltricks
7.6,Eerie Subarrays,https://open.kattis.com/problems/eeriesubarrays
7.3,San,https://open.kattis.com/problems/san
7.2,Sumsets,https://open.kattis.com/problems/sumsets
9.3,Forest Fire,https://open.kattis.com/problems/skogsbrand
6.0,Girðingaherping,https://open.kattis.com/problems/girdingaherping
6.2,Digits of Unity,https://open.kattis.com/problems/digitsofunity
7.8,Cheating Luck,https://open.kattis.com/problems/cheatingluck
5.6,Bridge Automation,https://open.kattis.com/problems/bridgeautomation
8.1,Unicyclic Count,https://open.kattis.com/problems/unicycliccount
5.5,99 Problems,https://open.kattis.com/problems/99problems2
7.2,Asteroids,https://open.kattis.com/problems/asteroids
6.8,String Game,https://open.kattis.com/problems/stringgame
7.1,Trick and Treat,https://open.kattis.com/problems/trickandtreat
8.5,The Last Laugh,https://open.kattis.com/problems/thelastlaugh
8.4,Catmas Gifts,https://open.kattis.com/problems/catmasgifts
6.0,Programming Team Selection,https://open.kattis.com/problems/programmingteamselection
8.1,Trimming Convex Polygons,https://open.kattis.com/problems/trimmingpolygons
6.3,Aperiodic Appointments,https://open.kattis.com/problems/aperiodicappointments
5.8,Excellent Engineers,https://open.kattis.com/problems/excellentengineers
7.9,Just Do It,https://open.kattis.com/problems/justdoit
6.5,Knightly Knowledge,https://open.kattis.com/problems/knightlyknowledge
5.5,All Pairs Shortest Path,https://open.kattis.com/problems/allpairspath
9.0,Swap Frenzy,https://open.kattis.com/problems/swapfrenzy
7.6,Guessing Circle,https://open.kattis.com/problems/guessingcircle
6.5,Bílskúrar,https://open.kattis.com/problems/bilskurar
8.6,Delete This!,https://open.kattis.com/problems/deletethis
8.0,Cars,https://open.kattis.com/problems/cars
9.4,Fail Fast,https://open.kattis.com/problems/failfast
6.7,Xortris,https://open.kattis.com/problems/xortris
7.2,Savez,https://open.kattis.com/problems/savez
6.4,Dog Trouble,https://open.kattis.com/problems/dogtrouble
6.8,Backpack Buddies,https://open.kattis.com/problems/backpackbuddies
9.1,Easter Eggs,https://open.kattis.com/problems/eggs
6.4,Bus Tour,https://open.kattis.com/problems/bustour
7.3,Villager Trading,https://open.kattis.com/problems/villagertrading
6.9,True/False Worksheet,https://open.kattis.com/problems/truefalseworksheet
9.1,Kitesurfing,https://open.kattis.com/problems/kitesurfing
8.2,Language Survey,https://open.kattis.com/problems/languagesurvey
7.2,Ink Blots,https://open.kattis.com/problems/inkblots
6.4,Once in a Blue Moon,https://open.kattis.com/problems/manresor
6.4,Bakice,https://open.kattis.com/problems/bakice
5.7,Circuit Counting,https://open.kattis.com/problems/countcircuits
5.9,Binary Voting,https://open.kattis.com/problems/binaryvoting
8.5,Window Shopping,https://open.kattis.com/problems/windowshopping
6.5,Paludarium,https://open.kattis.com/problems/paludarium
5.7,#include<scoring>,https://open.kattis.com/problems/includescoring
7.4,Lisa the Ladybug,https://open.kattis.com/problems/ladybug
5.6,Hilbert Sort,https://open.kattis.com/problems/hilbertsort
9.1,A Different List Game,https://open.kattis.com/problems/listgame2
8.7,String Stretching,https://open.kattis.com/problems/stretching
6.7,Keep the Parade Safe,https://open.kattis.com/problems/parade
8.1,Trafikverket's Plan,https://open.kattis.com/problems/trafikverketsplan
8.0,Numbers,https://open.kattis.com/problems/numbers2
7.0,Alcohol,https://open.kattis.com/problems/alcohol
8.3,Streets Behind,https://open.kattis.com/problems/streetsbehind
7.2,Brunhilda's Birthday,https://open.kattis.com/problems/brunhilda
7.4,Yule Lads,https://open.kattis.com/problems/yule
5.7,Advanced Causal Measurements,https://open.kattis.com/problems/causal
7.3,The Components Game,https://open.kattis.com/problems/componentsgame
6.2,Biggest Slice,https://open.kattis.com/problems/biggest
7.3,Pokegene,https://open.kattis.com/problems/pokegene
7.1,Modelling Problems,https://open.kattis.com/problems/modelling
8.3,Spilahlustun,https://open.kattis.com/problems/spilahlustun
