difficulty,name,link
5.3,Beehives,https://open.kattis.com/problems/beehives2
3.4,Missing Number,https://open.kattis.com/problems/missingnumber
2.9,Narrow Art Gallery,https://open.kattis.com/problems/narrowartgallery
5.1,PrintQuoter3D,https://open.kattis.com/problems/printquoter3d
5.0,Aquarium Tank,https://open.kattis.com/problems/tank
3.2,Sailing Friends,https://open.kattis.com/problems/sailingfriends
3.6,Running MoM,https://open.kattis.com/problems/runningmom
3.7,Disastrous Doubling,https://open.kattis.com/problems/disastrousdoubling
2.8,University Zoning,https://open.kattis.com/problems/universityzoning
4.2,Movie Collection,https://open.kattis.com/problems/moviecollection
5.0,Rings,https://open.kattis.com/problems/rings
3.5,Dejavu,https://open.kattis.com/problems/dejavu
4.1,How many 0's?,https://open.kattis.com/problems/howmanyzeros
3.0,Alphabet,https://open.kattis.com/problems/alphabet
2.8,Hópavinna,https://open.kattis.com/problems/hopavinna
3.2,Playing the Slots,https://open.kattis.com/problems/playingtheslots
4.0,Gopher II,https://open.kattis.com/problems/gopher2
3.9,Walrus Weights,https://open.kattis.com/problems/walrusweights
4.7,Art Appreciation,https://open.kattis.com/problems/artappreciation
5.4,Couple Competition,https://open.kattis.com/problems/couplecompetition
4.7,Circular Lock,https://open.kattis.com/problems/circularlock
5.0,Office Number,https://open.kattis.com/problems/officenumber
3.3,Train Timetables,https://open.kattis.com/problems/traintimetables
3.7,Boxes,https://open.kattis.com/problems/boxes
4.6,Polyomino Powers,https://open.kattis.com/problems/polyomino
3.4,Pawn Shop,https://open.kattis.com/problems/pawnshop
3.2,Mountain Biking,https://open.kattis.com/problems/mountainbiking
4.0,Matchsticks,https://open.kattis.com/problems/matchsticks
4.6,Pizza Delivery,https://open.kattis.com/problems/pizza
2.9,DVDs,https://open.kattis.com/problems/dvds
5.1,A Mazing!,https://open.kattis.com/problems/amazing
3.9,Limbo: Part 1,https://open.kattis.com/problems/limbo1
5.2,Test Scheduling,https://open.kattis.com/problems/testscheduling
3.9,Paintings,https://open.kattis.com/problems/paintings
3.9,Counting Subsequences (Hard),https://open.kattis.com/problems/subseqhard
4.3,Forest Fruits,https://open.kattis.com/problems/forestfruits
4.3,Elevator Pitch,https://open.kattis.com/problems/elevatorpitch
4.1,Adding Words,https://open.kattis.com/problems/addingwords
4.2,Palindromic Password,https://open.kattis.com/problems/palindromicpassword
3.6,Cow Crane,https://open.kattis.com/problems/cowcrane
3.9,Cranes,https://open.kattis.com/problems/cranes
3.0,Lamps,https://open.kattis.com/problems/lamps
4.0,Diagonal Cut,https://open.kattis.com/problems/diagonalcut
5.2,Alternative Bracket Notation,https://open.kattis.com/problems/bracketnotation
4.6,Rocket Powered Hovercraft,https://open.kattis.com/problems/rocketpoweredhovercraft
4.2,Cat and Mice,https://open.kattis.com/problems/catandmice
5.1,Herkabe,https://open.kattis.com/problems/herkabe
3.7,Dirty Driving,https://open.kattis.com/problems/dirtydriving
5.2,Integer Estate Agent,https://open.kattis.com/problems/estate
5.3,Prison Rearrangement,https://open.kattis.com/problems/prisonrearrangement
4.9,Farey Sums,https://open.kattis.com/problems/fareysums
4.6,Bombardment,https://open.kattis.com/problems/bombardment
3.3,Knight Search,https://open.kattis.com/problems/knightsearch
5.4,Exchange Rates,https://open.kattis.com/problems/exchangerates
3.1,Grazed Grains,https://open.kattis.com/problems/grazedgrains
5.1,CHACTL,https://open.kattis.com/problems/chactl
4.0,Chinese Remainder Theorem (non-relatively prime moduli),https://open.kattis.com/problems/generalchineseremainder
4.0,Mixtape Management,https://open.kattis.com/problems/mixtapemanagement
4.9,Cocoa Coalition,https://open.kattis.com/problems/cocoacoalition
2.8,A Furious Cocktail,https://open.kattis.com/problems/cocktail
4.5,Mission Improbable,https://open.kattis.com/problems/improbable
3.3,Rhyming Slang,https://open.kattis.com/problems/rhyming
4.2,Pong Tournament,https://open.kattis.com/problems/pongtournament
3.5,European Trip,https://open.kattis.com/problems/europeantrip
3.7,Nered,https://open.kattis.com/problems/nered
3.8,Gig Combinatorics,https://open.kattis.com/problems/gigcombinatorics
5.2,Chair Hopping,https://open.kattis.com/problems/chairhopping
4.1,Poplava,https://open.kattis.com/problems/poplava
4.9,The Cost of Speed Limits,https://open.kattis.com/problems/speedlimit2
5.1,Inventing Test Data,https://open.kattis.com/problems/inventing
4.9,Dvaput,https://open.kattis.com/problems/dvaput
4.7,Ghostbusters,https://open.kattis.com/problems/ghostbusters2
5.3,Robotopia,https://open.kattis.com/problems/robotopia
4.6,Constrained Freedom of Choice,https://open.kattis.com/problems/constrainedfreedomofchoice
4.4,Staring Contest,https://open.kattis.com/problems/boi23.staringcontest
5.0,Genijalac,https://open.kattis.com/problems/genijalac
5.4,Splitting Pairs,https://open.kattis.com/problems/splittingpairs
3.2,Calculator,https://open.kattis.com/problems/calculator
3.0,Money Matters,https://open.kattis.com/problems/moneymatters
5.2,Longest Common Subsequence,https://open.kattis.com/problems/longestcommonsubsequence
5.4,Recycling,https://open.kattis.com/problems/recycling
4.7,Union-Find,https://open.kattis.com/problems/unionfind
3.9,Dungeon master,https://open.kattis.com/problems/dungeon
5.1,Manhattan Mornings,https://open.kattis.com/problems/manhattanmornings
4.9,Cafeteria (Easy),https://open.kattis.com/problems/cafeteriaeasy
3.9,Potion Commotion,https://open.kattis.com/problems/potioncommotion
3.0,A Different Problem,https://open.kattis.com/problems/different
3.7,Long Swaps,https://open.kattis.com/problems/longswaps
2.9,Amalgamated Artichokes,https://open.kattis.com/problems/artichoke
4.9,Mall Mania,https://open.kattis.com/problems/mallmania
4.9,Dobra,https://open.kattis.com/problems/dobra
5.2,Arriving on Time,https://open.kattis.com/problems/arrivingontime
4.7,Kleptocrat,https://open.kattis.com/problems/kleptocrat
3.7,Dominos,https://open.kattis.com/problems/dominos
4.6,The Biggest Triangle,https://open.kattis.com/problems/biggesttriangle
4.2,Tourists,https://open.kattis.com/problems/tourists
4.8,Sheldon Numbers,https://open.kattis.com/problems/sheldon
4.8,Longest Common Substring,https://open.kattis.com/problems/longestcommonsubstring
5.3,Hamiltooonian Hike,https://open.kattis.com/problems/hamiltooonianhike
3.1,Mega Inversions,https://open.kattis.com/problems/megainversions
3.9,Znanstvenik,https://open.kattis.com/problems/znanstvenik
4.1,Most Difficult,https://open.kattis.com/problems/mostdifficult
3.9,Bucket Brigade,https://open.kattis.com/problems/bucketbrigade
4.8,Modulo Data Structures,https://open.kattis.com/problems/modulodatastructures
4.5,Workers of the World Unite! Just Not Too Close.,https://open.kattis.com/problems/workers
5.3,Presidential Elections,https://open.kattis.com/problems/presidentialelections
4.1,Yet Satisfiability Again!,https://open.kattis.com/problems/satisfiability
3.2,Self-Similar Strings,https://open.kattis.com/problems/selfsimilarstrings
4.1,Divide by 100...,https://open.kattis.com/problems/divideby100
3.2,Units,https://open.kattis.com/problems/units
3.9,Reactivity Series,https://open.kattis.com/problems/reactivity
4.5,Saunas,https://open.kattis.com/problems/bastubad
4.3,Foosball Dynasty,https://open.kattis.com/problems/foosball
3.0,Parsing Hex,https://open.kattis.com/problems/parsinghex
3.0,Mandelbrot,https://open.kattis.com/problems/mandelbrot
4.0,Wet Tiles,https://open.kattis.com/problems/wettiles
4.0,Svada,https://open.kattis.com/problems/svada
4.6,Fuzzy Family Tree,https://open.kattis.com/problems/fuzzyfamilytree
4.0,Climbing Stairs,https://open.kattis.com/problems/climbingstairs
4.9,Subsequences in Substrings,https://open.kattis.com/problems/subsequencesinsubstrings
4.9,Iron and Coal,https://open.kattis.com/problems/ironcoal
4.2,MazeMan,https://open.kattis.com/problems/mazeman
4.9,Erratic Ants,https://open.kattis.com/problems/erraticants
5.3,Hogwarts,https://open.kattis.com/problems/hogwarts2
5.2,Pyro Tubes,https://open.kattis.com/problems/pyro
3.4,Bounding Box,https://open.kattis.com/problems/boundingbox
3.4,Odd Binomial Coefficients,https://open.kattis.com/problems/oddbinom
3.5,Get Shorty,https://open.kattis.com/problems/getshorty
3.6,Disgruntled Judge,https://open.kattis.com/problems/disgruntledjudge
3.4,Air Conditioned Minions,https://open.kattis.com/problems/airconditioned
3.9,Short Sell,https://open.kattis.com/problems/shortsell
3.9,Continuous Median,https://open.kattis.com/problems/continuousmedian
3.3,Zagrade,https://open.kattis.com/problems/zagrade
5.3,Interval Cover,https://open.kattis.com/problems/intervalcover
4.8,Birthday Boy,https://open.kattis.com/problems/birthdayboy
4.1,Suffix Array Re-construction,https://open.kattis.com/problems/suffixarrayreconstruction
3.4,ASCII Figure Rotation,https://open.kattis.com/problems/asciifigurerotation
3.9,Buried Treasure,https://open.kattis.com/problems/buriedtreasure2
4.5,Great Expectations,https://open.kattis.com/problems/greatexpectations
4.8,Spiderman's Workout,https://open.kattis.com/problems/spiderman
5.3,Restaurant Orders,https://open.kattis.com/problems/orders
4.0,Clock Construction,https://open.kattis.com/problems/clockconstruction
5.2,Inverse Factorial,https://open.kattis.com/problems/inversefactorial
3.4,Circular DNA,https://open.kattis.com/problems/circular
